Important Helper,Shift logic,Sell-in price,Category,PCT,BG,PDT,Customer ID,Customer,Anker SKU,202534,202535,202536,202537,202538,202539,202540,202541,202542,202543,202544,202545,202546,202547,202548,202549,202550,202551,202552
52734A1667H91,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52734,Apple HK,A1667H91,$0.00,$0.00,$598.00,$598.00,$598.00,$572.00,$546.00,$520.00,$468.00,$702.00,$717.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52738B2657J21,1,12,Charging,US_CH,Mobile Charging IPMT,Charger,52738,Apple JP,B2657J21,$0.00,$0.00,$441.60,$441.60,$441.60,$422.40,$403.20,$384.00,$345.60,$518.40,$529.92,$345.60,$460.80,$460.80,$460.80,$529.92,$529.92,$499.20,$480.00
52738A2689J21,1,15,Charging,US_CH,Mobile Charging IPMT,Charger,52738,Apple JP,A2689J21,$0.00,$0.00,$500.25,$500.25,$500.25,$478.50,$456.75,$435.00,$391.50,$587.25,$600.30,$391.50,$522.00,$522.00,$522.00,$600.30,$600.30,$565.50,$543.75
52738A2604J21,1,24,Charging,US_CH,Mobile Charging IPMT,Charger,52738,Apple JP,A2604J21,$0.00,$0.00,$331.20,$331.20,$331.20,$316.80,$302.40,$288.00,$259.20,$388.80,$397.44,$259.20,$345.60,$345.60,$345.60,$397.44,$397.44,$374.40,$360.00
52738A2655J21,1,38,Charging,US_CH,Mobile Charging IPMT,Charger,52738,Apple JP,A2655J21,$0.00,$0.00,$174.80,$174.80,$174.80,$167.20,$159.60,$152.00,$136.80,$205.20,$209.76,$136.80,$182.40,$182.40,$182.40,$209.76,$209.76,$197.60,$190.00
52738A2644N21,1,50,Charging,US_CH,Mobile Charging IPMT,Charger,52738,Apple JP,A2644N21,$0.00,$0.00,$287.50,$287.50,$287.50,$275.00,$262.50,$250.00,$225.00,$337.50,$345.00,$225.00,$300.00,$300.00,$300.00,$345.00,$345.00,$325.00,$312.50
52738B25L0H21,1,31.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52738,Apple JP,B25L0H21,$0.00,$0.00,$438.84,$438.84,$438.84,$419.76,$400.68,$381.60,$429.30,$643.95,$658.26,$429.30,$572.40,$572.40,$572.40,$658.26,$658.26,$620.10,$596.25
52738A1667H21,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52738,Apple JP,A1667H21,$0.00,$0.00,"$3,827.20","$3,827.20","$3,827.20","$3,660.80","$3,494.40","$3,328.00","$3,744.00","$5,616.00","$5,740.80","$3,744.00","$4,992.00","$4,992.00","$4,992.00","$5,740.80","$5,740.80","$5,408.00","$5,200.00"
52738A1667H31,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52738,Apple JP,A1667H31,$0.00,$0.00,"$1,906.13","$1,906.13","$1,906.13","$1,823.25","$1,740.38","$1,657.50","$1,989.00","$2,983.50","$3,049.80","$1,989.00","$2,652.00","$2,652.00","$2,652.00","$3,049.80","$3,049.80","$2,873.00","$2,762.50"
52738Y1812H21,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52738,Apple JP,Y1812H21,$0.00,$0.00,"$1,122.40","$1,122.40","$1,122.40","$1,073.60","$1,024.80",$976.00,"$1,756.80","$2,635.20","$2,693.76","$1,756.80","$2,342.40","$2,342.40","$2,342.40","$2,693.76","$2,693.76","$2,537.60","$2,440.00"
52738Y1812HA1,1,48.8,Charging,US_CH,Mobile Charging IPMT,Wireless,52738,Apple JP,Y1812HA1,$0.00,$0.00,$841.80,$982.10,$982.10,$939.40,$896.70,$854.00,"$1,098.00","$1,647.00","$1,683.60","$1,098.00","$1,464.00","$1,464.00","$1,464.00","$1,683.60","$1,683.60","$1,586.00","$1,525.00"
52738A1667H91,1,26,Charging,US_CH,Mobile Charging IPMT,Battery,52738,Apple JP,A1667H91,$0.00,$0.00,"$1,495.00","$1,495.00","$1,495.00","$1,430.00","$1,365.00","$1,300.00","$1,170.00","$1,755.00","$1,794.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52749B2657Q21,1,11.22,Charging,US_CH,Mobile Charging IPMT,Charger,52749,Apple Korea,B2657Q21,$0.00,$0.00,$232.23,$232.23,$232.23,$222.13,$212.03,$201.94,$181.74,$272.61,$278.67,$181.74,$242.32,$242.32,$242.32,$278.67,$278.67,$262.52,$252.42
52749A2689Q21,1,14.02,Charging,US_CH,Mobile Charging IPMT,Charger,52749,Apple Korea,A2689Q21,$0.00,$0.00,$258.03,$258.03,$258.03,$246.81,$235.59,$224.37,$201.94,$302.90,$309.64,$201.94,$269.25,$269.25,$269.25,$309.64,$309.64,$291.69,$280.47
52749A2604Q21,1,22.44,Charging,US_CH,Mobile Charging IPMT,Charger,52749,Apple Korea,A2604Q21,$0.00,$0.00,$103.21,$103.21,$103.21,$98.72,$94.24,$89.75,$80.77,$121.16,$123.85,$80.77,$107.70,$107.70,$107.70,$123.85,$123.85,$116.67,$112.19
52749A2655Q21,1,35.53,Charging,US_CH,Mobile Charging IPMT,Charger,52749,Apple Korea,A2655Q21,$0.00,$0.00,$204.27,$204.27,$204.27,$195.39,$186.51,$177.63,$159.87,$239.80,$245.13,$159.87,$213.15,$213.15,$213.15,$245.13,$245.13,$230.92,$222.04
52749A2644Q21,1,46.74,Charging,US_CH,Mobile Charging IPMT,Charger,52749,Apple Korea,A2644Q21,$0.00,$0.00,$161.27,$161.27,$161.27,$154.26,$147.25,$140.23,$126.21,$189.32,$193.52,$126.21,$168.28,$168.28,$168.28,$193.52,$193.52,$182.30,$175.29
52749B25L0Q21,1,29.73,Charging,US_CH,Mobile Charging IPMT,Wireless,52749,Apple Korea,B25L0Q21,$0.00,$0.00,$170.94,$170.94,$170.94,$163.51,$156.08,$148.65,$133.78,$200.67,$205.13,$133.78,$178.38,$178.38,$178.38,$205.13,$205.13,$193.24,$185.81
