,,,Quarter,Values,,,,,,,,,,,,,,,,,,,,,
,,,Q3 2025,,Q4 2025,,Grand Total,,,,,,,,,,,,,,,,,,
Customer,Anker SKU,PDT,SUM of Delta Units,SUM of Delta Revenue,SUM of Delta Units,SUM of Delta Revenue,SUM of Delta Units,SUM of Delta Revenue,Battery supply shortage ,DP's comment,,,,,,,,,,,,,,,
,A1653H11-1,Essential,-15.00,-$238.35,-65.00,"-$1,032.85",-80.00,"-$1,271.20",Good,,52304,52304A1653H11-1,,,,,,,,,,,,,
Love's Total,,,-75.00,-$869.55,-325.00,"-$3,768.05",-400.00,"-$4,637.60",,,,,,,,,,,,,,,,,
SYNNEX,A8013H21-1,Essential,-90.00,-$741.60,-360.00,"-$2,966.40",-450.00,"-$3,708.00",,,1963,1963A8013H21-1,SYNNEX,,,,,,,,,,,,
,B2557J11-1,Wireless,-2.00,-$124.06,-6.00,-$372.18,-8.00,-$496.24,,,1963,1963B2557J11-1,,,,,,,,,,,,,
SYNNEX Total,,,-92.00,-$865.66,-366.00,"-$3,338.58",-458.00,"-$4,204.24",,,,,,,,,,,,,,,,,
Apple Korea,A1667H21,Battery,,,-63.59,"-$1,545.92",-63.59,"-$1,545.92",,,52749,52749A1667H21,Apple Korea,,,,,,,,,,,,
,A1667H31,Battery,,,-31.80,-$772.98,-31.80,-$772.98,,,52749,52749A1667H31,,,,,,,,,,,,,
,Y1812QA1,Wireless,,,-7.42,-$338.51,-7.42,-$338.51,,,52749,52749Y1812QA1,,,,,,,,,,,,,
,Y1812Q21,Wireless,,,-5.30,-$241.81,-5.30,-$241.81,,,52749,52749Y1812Q21,,,,,,,,,,,,,
,A2689Q21,Charger,,,-16.96,-$237.83,-16.96,-$237.83,,,52749,52749A2689Q21,,,,,,,,,,,,,
,B2657Q21,Charger,,,-19.08,-$214.05,-19.08,-$214.05,,,52749,52749B2657Q21,,,,,,,,,,,,,
,A2655Q21,Charger,,,-5.30,-$188.28,-5.30,-$188.28,,,52749,52749A2655Q21,,,,,,,,,,,,,
,B25L0Q21,Wireless,,,-5.30,-$157.56,-5.30,-$157.56,,,52749,52749B25L0Q21,,,,,,,,,,,,,
,A2644Q21,Charger,,,-3.18,-$148.65,-3.18,-$148.65,,,52749,52749A2644Q21,,,,,,,,,,,,,
,A2604Q21,Charger,,,-4.24,-$95.13,-4.24,-$95.13,,,52749,52749A2604Q21,,,,,,,,,,,,,
Apple Korea Total,,,,,-162.17,"-$3,940.72",-162.17,"-$3,940.72",,,,,,,,,,,,,,,,,
Koan Company Ltd.,B2657E21,Charger,-60.00,-$720.00,-90.00,"-$1,080.00",-150.00,"-$1,800.00",,,52744,52744B2657E21,Koan Company Ltd.,,,,,,,,,,,,
Koan Company Ltd. Total,,,-60.00,-$720.00,-90.00,"-$1,080.00",-150.00,"-$1,800.00",,,,,,,,,,,,,,,,,
VoiceComm,A1618H11-1,Essential,,,-80.00,"-$1,428.00",-80.00,"-$1,428.00",Shortage High risk,,50387,50387A1618H11-1,VoiceComm,,,,,,,,,,,,
VoiceComm Total,,,,,-80.00,"-$1,428.00",-80.00,"-$1,428.00",,,,,,,,,,,,,,,,,
"Lynco Distribution, Inc",A1112H11-1,Essential,,,-22.00,-$242.00,-22.00,-$242.00,Shortage High risk,,52208,52208A1112H11-1,"Lynco Distribution, Inc",,,,,,,,,,,,
"Lynco Distribution, Inc Total",,,,,-22.00,-$242.00,-22.00,-$242.00,,x,,,,x,x,x,x,x,x,x,x,x,x,x,x
